"country","name","position"
"Bulgaria","Mr Evgeni STOYANOV","Deputy Minister for Justice"
"Bulgaria","Mr Nikolay PRODANOV","Deputy Minister for Justice"
"Bulgaria","Mr Krasimir VALCHEV","Minister for Education and Science"
"Bulgaria","Ms Tanya MIHAYLOVA","Deputy Minister for Education and Science"
"Bulgaria","Ms Karina ANGELIEVA","Deputy Minister for Education and Science"
"Bulgaria","Mr Petar NIKOLOV","Deputy Minister for Education and Science"
"Bulgaria","Mr Kiril ANANIEV","Minister for Health"
"Bulgaria","Ms Jeny NACHEVA","Deputy Minister for Health"
"Bulgaria","Mr Boyko PENKOV","Deputy Minister for Health"
"Bulgaria","Ms Svetlana YORDANOVA","Deputy Minister for Health"
"Bulgaria","Mr Boil BANOV","Minister for Culture"
"Bulgaria","Ms Amelia GESHEVA","Deputy Minister for Culture"
"Bulgaria","Mr Rumen DIMITROV","Deputy Minister for Culture"
"Bulgaria","Mr Emil DIMITROV","Minister for Environment and Water"
"Bulgaria","Ms Atanaska NIKOLOVA","Deputy Minister for Environment and Water"
"Bulgaria","Mr Krasimir ZHIVKOV","Deputy Minister for Environment and Water"
"Bulgaria","Mr Nikolay KANCHEV","Deputy Minister for Environment and Water"
"Bulgaria","Ms Desislava TANEVA","Minister for Agriculture, Food and Forestry"
"Bulgaria","Mr Atanas DOBREV","Deputy Minister for Agriculture, Food and Forestry"
"Bulgaria","Mr Yanko IVANOV","Deputy Minister for Agriculture, Food and Forestry"
"Bulgaria","Ms Lozana VASILEVA","Deputy Minister for Agriculture, Food and Forestry"
"Bulgaria","Ms Verginia KRUSTEVA","Deputy Minister for Agriculture, Food and Forestry"
"Bulgaria","Mr Chavdar MARINOV","Deputy Minister for Agriculture, Food and Forestry"
"Bulgaria","Mr Rossen JELIAZKOV","Minister for Transport, Information Technology and Communications"
"Bulgaria","Mr Velik ZANCHEV","Deputy Minister for Transport, Information Technology and Communications"
"Bulgaria","Ms Andreana ATANASOVA","Deputy Minister for Transport, Information Technology and Communications"
"Bulgaria","Mr Anguel POPOV","Deputy Minister for Transport, Information Technology and Communications"
"Bulgaria","Mr Emil KARANIKOLOV","Minister for Economy"
"Bulgaria","Ms Liliya IVANOVA","Deputy Minister for Economy"
"Bulgaria","Mr Lachezar BORISOV","Deputy Minister for Economy"
"Bulgaria","Ms Temenuzhka PETKOVA","Minister for Energy"
"Bulgaria","Mr Zhecho STANKOV","Deputy Minister for Energy"
"Bulgaria","Ms Nikolina ANGELKOVA","Minister for Tourism"
"Bulgaria","Ms Irena GEORGIEVA","Deputy Minister for Tourism"
"Bulgaria","Mr Lyuben KANCHEV","Deputy Minister for Tourism"
"Bulgaria","Mr Krasen KRALEV","Minister for Youth and Sports"
"Bulgaria","Mr Stoyan ANDONOV","Deputy Minister for Youth and Sports"
"Bulgaria","Mr Nikolay PAVLOV","Deputy Minister for Youth and Sports"
"Bulgaria","Mr Atanas ZAPRYANOV","Deputy Minister for Defence"
"Bulgaria","Mr Anatoliy VELICHKOV","Deputy Minister for Defence"
"Croatia","Mr Andrej PLENKOVIĆ","State Secretary, Ministry of the Economy and Sustainable Development"
"Croatia","Mr Gordan GRLIĆ RADMAN","Minister for Foreign and European Affairs"
"Croatia","Ms Marija VUČKOVIĆ","Minister for Agriculture"
"Croatia","Mr Davor BOŽINOVIĆ","Deputy Prime Minister and Minister for Internal Affairs"
"Croatia","Mr Zdravko MARIĆ","Deputy Prime Minister and Minister for Finance"
"Croatia","Mr Ivan MALENICA","Minister for Justice and Public Administration"
"Croatia","Mr Josip ALADROVIĆ","Minister for Labour, the Pension System, the Family and Social Policy"
"Croatia","Ms Nina OBULJEN KORŽINEK","Minister for Culture and Media"
"Croatia","Ms Nikolina BRNJAC","Minister for Tourism and Sport"
"Croatia","Mr Radovan FUCHS","Minister for Science and Education"
"Croatia","Mr Tomislav ĆORIĆ","Minister for the Economy and Sustainable Development"
"Croatia","Mr Oleg BUTKOVIĆ","Minister for the Sea, Transport and Infrastructure"
"Croatia","Mr Darko HORVAT","Minister for Physical Planning, Construction and State Property"
"Croatia","Ms Nataša TRAMIŠAK","Minister for Regional Development and EU Funds"
"Croatia","Mr Tomo MEDVED","Deputy Prime Minister and Minister for Croatian Veterans’ Affairs"
"Croatia","Mr Vili BEROŠ","Minister for Health"
"Croatia","Mr Mario BANOŽIĆ","Minister for Defence"
"Croatia","Mr Boris MILOŠEVIĆ","Deputy Prime Minister with responsibility for Social Affairs and Human Rights"
"Croatia","Ms Andreja METELKO-ZGOMBIĆ","State Secretary, Ministry of Foreign and European Affairs"
"Croatia","Mr Zdenko LUCIĆ","State Secretary, Ministry of Foreign and European Affairs, with responsibility for foreign trade and development cooperation"
"Croatia","Mr Frano MATUŠIĆ","State Secretary, Ministry of Foreign and European Affairs, with responsibility for political affairs"
"Croatia","Mr Žarko KATIĆ","State Secretary, Ministry of Internal Affairs"
"Croatia","Ms Terezija GRAS","State Secretary, Ministry of Internal Affairs"
"Croatia","Mr Zdravko JAKOP","State Secretary, Ministry of Defence"
"Croatia","Mr Branko HRG","State Secretary, Ministry of Defence"
"Croatia","Mr Zdravko ZRINUŠIĆ","State Secretary, Ministry of Finance"
"Croatia","Mr Stipe ŽUPAN","State Secretary, Ministry of Finance"
"Croatia","Mr Stjepan ČURAJ","State Secretary, Ministry of Finance"
"Croatia","Mr Juro MARTINOVIĆ","State Secretary, Ministry of Justice and Public Administration"
"Croatia","Mr Sanjin RUKAVINA","State Secretary, Ministry of Justice and Public Administration"
"Croatia","Ms Dunja MAGAŠ","State Secretary, Ministry of Physical Planning, Construction and State Property"
"Croatia","Mr Željko UHLIR","State Secretary, Ministry of Physical Planning, Construction and State Property"
"Croatia","Ms Sanja BOŠNJAK","State Secretary, Ministry of Physical Planning, Construction and State Property"
"Croatia","Ms Majda BURIĆ","State Secretary, Ministry of Labour, the Pension System, the Family and Social Policy"
"Croatia","Mr Dragan JELIĆ","State Secretary, Ministry of Labour, the Pension System, the Family and Social Policy"
"Croatia","Ms Marija PLETIKOSA","State Secretary, Ministry of Labour, the Pension System, the Family and Social Policy"
"Croatia","Ms Margareta MAĐERIĆ","State Secretary, Ministry of Labour, the Pension System, the Family and Social Policy"
"Croatia","Mr Krešimir PARTL","State Secretary, Ministry of Culture and Media"
"Croatia","Mr Ivica POLJIČAK","State Secretary, Ministry of Culture and Media"
"Croatia","Mr Tonči GLAVINA","State Secretary, Ministry of Tourism and Sport"
"Croatia","Mr Tomislav DRUŽAK","State Secretary, Ministry of Tourism and Sport"
"Croatia","Mr Tugomir MAJDAK","State Secretary, Ministry of Agriculture"
"Croatia","Mr Zdravko TUŠEK","State Secretary, Ministry of Agriculture"
"Croatia","Ms Ivana FRANIĆ","State Secretary, Ministry of Science and Education"
"Croatia","Mr Stipe MAMIĆ","State Secretary, Ministry of Science and Education"
"Croatia","Mr Tomislav PALJAK","State Secretary, Ministry of Science and Education"
"Croatia","Mr Mario ŠILJEG","State Secretary, Ministry of the Economy and Sustainable Development"
"Croatia","Mr Mile HORVAT","State Secretary, Ministry of the Economy and Sustainable Development"
"Croatia","Mr Ivo MILATIĆ","State Secretary, Ministry of the Economy and Sustainable Development"
"Croatia","Ms Nataša MIKUŠ ŽIGMAN","State Secretary, Ministry of the Economy and Sustainable Development"
"Croatia","Mr Tomislav MIHOTIĆ","State Secretary, Ministry of the Sea, Transport and Infrastructure"
"Croatia","Mr Josip BILAVER","State Secretary, Ministry of the Sea, Transport and Infrastructure"
"Croatia","Mr Alen GOSPOČIĆ","State Secretary, Ministry of the Sea, Transport and Infrastructure"
"Croatia","Ms Spomenka ĐURIĆ","State Secretary, Ministry of Regional Development and EU Funds"
"Croatia","Mr Velimir ŽUNAC","State Secretary, Ministry of Regional Development and EU Funds"
"Croatia","Mr Šime ERLIĆ","State Secretary, Ministry of Regional Development and EU Funds"
"Croatia","Mr Stjepan SUČIĆ","State Secretary, Ministry of Croatian Veterans’ Affairs"
"Croatia","Mr Darko NEKIĆ","State Secretary, Ministry of Croatian Veterans’ Affairs"
"Croatia","Mr Silvio BAŠIĆ","State Secretary, Ministry of Health"
"Croatia","Mr Bernard GRŠIĆ","State Secretary, Central State Office for Development of the Digital Society"
"Croatia","Mr Ivan BUBIĆ","State Secretary, Central State Office for Central Procurement"
"Croatia","Mr Nikola MAŽAR","State Secretary, Central State Office for Reconstruction and Housing"
"Croatia","Mr Zvonko MILAS","State Secretary, Central State Office for Croatians outside the Republic of Croatia"
"Croatia","Ms Željka JOSIĆ","State Secretary, Central State Office for Demography and Youth"
"Croatia","Mr Slavko TUCAKOVIĆ","Croatian Firefighters Association"
"Croatia","Mr Andrija MIKULIĆ","State Inspectorate"
"Cyprus","Mr Nicos ANASTASIADES","President of the Republic of Cyprus"
"Cyprus","Mr Nikos CHRISTODOULIDES","Minister for Foreign Affairs"
"Cyprus","Mr Kornelios S. KORNELIOU","Permanent Secretary, Ministry of Foreign Affairs"
"Cyprus","Mr Constantinos PETRIDES","Minister for Finance"
"Cyprus","Mr George PANTELI","Permanent Secretary, Ministry of Finance"
"Cyprus","Mr Nikos NOURIS","Minister for the Interior"
"Cyprus","Mr Costas KONSTANTINOU","Permanent Secretary, Ministry of the Interior"
"Cyprus","Mr Charalambos PETRIDES","Minister for Defence"
"Cyprus","Mr Andreas P. LOUCA","Permanent Secretary, Ministry of Defence"
"Cyprus","Mr Prodromos PRODROMOU","Minister for Education, Culture, Sport and Youth"
"Cyprus","Mr Kypros KYPRIANOU","Permanent Secretary, Ministry of Education, Culture, Sport and Youth"
"Cyprus","Mr Yiannis KAROUSOS","Minister for Transport, Communications and Works"
"Cyprus","Mr Stavros A. MICHAEL","Permanent Secretary, Ministry of Transport, Communications and Works"
"Cyprus","Ms Natasa PILΙDES","Minister for Energy, Commerce and Industry"
"Cyprus","Mr Mario PANAGIDES","Permanent Secretary, Ministry of Energy, Commerce and Industry"
"Cyprus","Mr Costas KADIS","Minister for Agriculture, Rural Development and Environment"
"Cyprus","Mr Andreas A. GREGORIOU","Permanent Secretary, Ministry of Agriculture, Rural Development and Environment"
"Cyprus","Ms Zeta EMILIANIDOU","Minister for Labour, Welfare and Social Insurance"
"Cyprus","Mr Andreas ZACHARIADES","Permanent Secretary, Ministry of Labour, Welfare and Social Insurance"
"Cyprus","Ms Emily GIOLITIS","Minister for Justice and Public Order"
"Cyprus","Mr Louis PANAGI","Permanent Secretary, Ministry of Justice and Public Order"
"Cyprus","Mr Constantinos IOANNOU","Minister for Health"
"Cyprus","Ms Christina DR. YIANNAKI","Permanent Secretary, Ministry of Health"
"Cyprus","Mr Theodosis A. TSIOLAS","Permanent Secretary, Directorate General for European Programmes, Coordination and Development"
"Cyprus","Mr Vassilios DEMETRIADES","Deputy Minister for Shipping"
"Cyprus","Mr Neophytos PAPADOPOULOS","Permanent Secretary, Deputy Ministry of Shipping"
"Cyprus","Mr Kyriacos KOKKINOS","Deputy Minister for Research, Innovation and Digital Policy"
"Cyprus","Mr Stelios HIMONAS","Permanent Secretary, Deputy Ministry of Research, Innovation and Digital Policy"
"Cyprus","Mr Savvas PERDIOS","Deputy Minister for Tourism"
"Cyprus","Mr Theophanis TRYFONOS","Permanent Secretary, Deputy Ministry of Tourism"
"Cyprus","Mr Kyriakos KOUSIOS","Government Spokesperson"
"Cyprus","Mr Panayiotis SENTONAS","Deputy Government Spokesperson"
"Cyprus","Mr Vasilis PALMAS","Deputy Minister to the President"
"Czechia","Mr Andrej BABIŠ","Prime Minister"
"Czechia","Ms Alena SCHILLEROVÁ","Deputy Prime Minister and Minister for Finance"
"Czechia","Mr Jan HAMÁČEK","First Deputy Prime Minister and Minister for the Interior"
"Czechia","Mr Tomáš PETŘÍČEK","Minister for Foreign Affairs"
"Czechia","Ms Marie BENEŠOVÁ","Minister for Justice"
"Czechia","Mr Vladimír KREMLÍK","Minister for Transport"
"Czechia","Mr Adam VOJTĚCH","Minister for Health"
"Czechia","Mr Lubomír METNAR","Minister for Defence"
"Czechia","Mr Karel HAVLÍČEK","Deputy Prime Minister and Minister for Industry and Trade"
"Czechia","Ms Jana MALÁČOVÁ","Minister for Labour and Social Affairs"
"Czechia","Mr Miroslav TOMAN","Minister for Agriculture"
"Czechia","Mr Robert PLAGA","Minister for Education, Youth and Sports"
"Czechia","Mr Richard BRABEC","Minister for the Environment"
"Czechia","Mr Antonín STANĚK","Minister for Culture"
"Czechia","Ms Klára DOSTÁLOVÁ","Minister for Regional Development"
"Czechia","Mr Aleš CHMELAŘ","Deputy Minister for Foreign Affairs"
"Czechia","Mr Martin POVEJŠIL","Deputy Minister for Foreign Affairs"
"Czechia","Mr Martin TLAPA","Deputy Minister for Foreign Affairs"
"Czechia","Mr Karel TYLL","Deputy Minister for Finance"
"Czechia","Mr Stanislav KOUBA","Deputy Minister for Finance"
"Czechia","Ms Lenka DUPÁKOVÁ","Deputy Minister for Finance"
"Czechia","Mr Jakub KULHÁNEK","Deputy Minister for the Interior"
"Czechia","Mr Jiří NOVÁČEK","Deputy Minister for the Interior"
"Czechia","Mr Jaroslav STROUHAL","Deputy Minister for the Interior"
"Czechia","Mr Tomáš ČOČEK","Deputy Minister for Transport"
"Czechia","Mr Ladislav NĚMEC","Deputy Minister for Transport"
"Czechia","Mr Jakub LANDOVSKÝ","Deputy Minister for Defence"
"Czechia","Mr Aleš OPATA","Chief of the General Staff of the Czech Armed Forces"
"Czechia","Mr Vladimír BÄRTL","Deputy Minister for Industry and Trade"
"Czechia","Mr René NEDĚLA","Deputy Minister for Industry and Trade"
"Czechia","Mr Jan DEJL","Deputy Minister for Industry and Trade"
"Czechia","Mr Petr OČKO","Deputy Minister for Industry and Trade"
"Czechia","Mr Eduard MUŘICKÝ","Deputy Minister for Industry and Trade"
"Czechia","Ms Silvana JIROTKOVÁ","Deputy Minister for Industry and Trade"
"Czechia","Mr Marian PIECHA","Deputy Minister for Industry and Trade"
"Czechia","Mr Jiří VAŇÁSEK","Deputy Minister for Labour and Social Affairs"
"Czechia","Mr Petr HŮRKA","Deputy Minister for Labour and Social Affairs"
"Czechia","Ms Martina ŠTĚPÁNKOVÁ","Deputy Minister for Labour and Social Affairs"
"Czechia","Mr Jiří ŠÍR","Deputy Minister for Agriculture"
"Czechia","Mr Jindřich FIALKA","Deputy Minister for Agriculture"
"Czechia","Mr Pavel VESELÝ","Deputy Minister for Agriculture"
"Czechia","Mr Pavel SEKÁČ","Deputy Minister for Agriculture"
"Czechia","Ms Milena HRDINKOVÁ","State Secretary for European Affairs"
"Czechia","Mr Václav VELČOVSKÝ","Deputy Minister for Education, Youth and Sports"
"Czechia","Mr Pavel DOLEČEK","Deputy Minister for Education, Youth and Sports"
"Czechia","Mr Jan KŘÍŽ","Deputy Minister for the Environment"
"Czechia","Mr Vladislav SMRŽ","Deputy Minister for the Environment"
"Czechia","Ms Olga NEBESKÁ","Deputy Minister for Regional Development"
"Czechia","Ms Petra SMOLÍKOVÁ","Deputy Minister for Culture"
"Czechia","Mr Michal FRANĚK","Deputy Minister for Justice"
"Czechia","Mr Jeroným TEJC","Deputy Minister for Justice"
"Czechia","Ms Alena ŠTEFLOVÁ","Deputy Minister for Health"
"Czechia","Mr Radek POLICAR","Deputy Minister for Health"
"Denmark","Ms Mette FREDERIKSEN","Prime Minister"
"Denmark","Mr Christian KETTEL THOMSEN","State Secretary, Prime Minister’s Office"
"Denmark","Mr Nicolai WAMMEN","Minister for Finance"
"Denmark","Mr Peter STENSGAARD MØRCH","State Secretary, Ministry of Finance"
"Denmark","Mr Jeppe KOFOD","Minister for Foreign Affairs"
"Denmark","Mr Rasmus PREHN","Minister for Development Cooperation"
"Denmark","Mr Lars Gert LOSE","State Secretary, Ministry of Foreign Affairs"
"Denmark","Ms Trine RASK THYGESEN","State Secretary, Ministry of Foreign Affairs (development policy)"
"Denmark","Ms Susanne HYLDELUND","State Secretary, Ministry of Foreign Affairs (external trade)"
"Denmark","Mr Carsten GRØNBECH-JENSEN","State Secretary, Ministry of Foreign Affairs (European policy and the Arctic)"
"Denmark","Mr Nick HÆKKERUP","Minister for Justice"
"Denmark","Ms Barbara BERTELSEN","State Secretary, Ministry of Justice"
"Denmark","Ms Astrid KRAG","Minister for Social Affairs and the Interior"
"Denmark","Mr Sophus GARFIEL","State Secretary, Ministry of Social Affairs and the Interior"
"Denmark","Mr Morten BØDSKOV","Minister for Taxation"
"Denmark","Mr Jens BRØCHNER","State Secretary, Ministry of Taxation"
"Denmark","Mr Dan JØRGENSEN","Minister for Climate, Energy and Utilities"
"Denmark","Mr Morten BÆK","State Secretary, Ministry of Climate, Energy and Utilities"
"Denmark","Mr Mogens JENSEN","Minister for Food, Fisheries and Equal Opportunities and Minister for Nordic Cooperation"
"Denmark","Ms Lea WERMELIN","Minister for the Environment"
"Denmark","Mr Henrik STUDSGAARD","State Secretary, Ministry of the Environment and Food"
"Denmark","Mr Magnus HEUNICKE","Minister for Health and Senior Citizens"
"Denmark","Mr Per OKKELS","State Secretary, Ministry of Health and Senior Citizens"
"Denmark","Mr Benny ENGELBRECHT","Minister for Transport"
"Denmark","Mr Kaare DYBVAD","Minister for Housing"
"Denmark","Mr Jacob HEINSEN","State Secretary, Ministry of Transport, Building and Housing"
"Denmark","Ms Pernille ROSENKRANTZ-THEIL","Minister for Children and Education"
"Denmark","Mr Søren HARTMANN HEDE","State Secretary, Ministry of Children and Education"
"Denmark","Ms Trine BRAMSEN","Minister for Defence"
"Denmark","Mr Thomas AHRENKIEL","State Secretary, Ministry of Defence"
"Denmark","Ms Ane HALSBOE-JØRGENSEN","Minister for Higher Education and Science"
"Denmark","Ms Agnete GERSING","State Secretary, Ministry of Higher Education and Science"
"Denmark","Mr Simon KOLLERUP","Minister for Industry, Business and Financial Affairs"
"Denmark","Mr Michael DITHMER","State Secretary, Ministry of Industry, Business and Financial Affairs"
"Denmark","Mr Mattias TESFAYE","Minister for Immigration and Integration"
"Denmark","Mr Christian HESTHAVEN","State Secretary, Ministry of Immigration and Integration"
"Denmark","Mr Peter HUMMELGAARD","Minister for Employment"
"Denmark","Mr Jakob JENSEN","State Secretary, Ministry of Employment"
"Denmark","Ms Joy MOGENSEN","Minister for Culture and Minister for Ecclesiastical Affairs"
"Denmark","Ms Marie HANSEN","State Secretary, Ministry of Culture"
"Denmark","Mr Christian Dons CHRISTENSEN","State Secretary, Ministry of Ecclesiastical Affairs"
"Estonia","Mr Jüri RATAS","Prime Minister"
"Estonia","Mr Urmas REINSALU","Minister for Foreign Affairs"
"Estonia","Mr Raivo AEG","Minister for Justice"
"Estonia","Mr Jüri LUIK","Minister for Defence"
"Estonia","Mr Rain EPLER","Minister for the Environment"
"Estonia","Mr Tõnis LUKAS","Minister for Culture"
"Estonia","Mr Taavi AAS","Minister for Economic Affairs and Infrastructure"
"Estonia","Mr Raul SIEM","Minister for Foreign Trade and Information Technology"
"Estonia","Mr Arvo ALLER","Minister for Rural Affairs"
"Estonia","Mr Martin HELME","Minister for Finance"
"Estonia","Mr Alar LANEMAN","Minister for the Interior"
"Estonia","Mr Tanel KIIK","Minister for Social Affairs"
"Estonia","Ms Riina SOLMAN","Minister for Population"
"Estonia","Mr Jaak AAB","Minister for Education and Research"
"Estonia","Ms Anneli OTT","Minister for Public Administration"
"Estonia","Mr Märt VOLMER","Undersecretary for European Affairs"
"Federal government","Mr Alexander DE CROO","Prime Minister"
"Federal government","Mr Pierre-Yves DERMAGNE","Deputy Prime Minister and Minister for the Economy and Employment"
"Federal government","Ms Sophie WILMÈS","Deputy Prime Minister and Minister for Foreign Affairs, European Affairs, Foreign Trade and Federal Cultural Institutions"
"Federal government","Mr Georges GILKINET","Deputy Prime Minister and Minister for Mobility"
"Federal government","Mr Vincent VAN PETEGHEM","Deputy Prime Minister and Minister for Finance, with responsibility for the prevention of tax evasion"
"Federal government","Mr Frank VANDENBROUCKE","Deputy Prime Minister and Minister for Social Affairs and Public Health"
"Federal government","Ms Petra DE SUTTER","Deputy Prime Minister and Minister for the Civil Service and State-owned Enterprises"
"Federal government","Mr Vincent VAN QUICKENBORNE","Deputy Prime Minister and Minister for Justice, with responsibility for the North Sea"
"Federal government","Mr David CLARINVAL","Minister for Small Businesses, the Self-Employed, SMEs and Agriculture, Institutional Reform and Democratic Renewal"
"Federal government","Ms Karine LALIEUX","Minister for Pensions and Social Integration, with responsibility for persons with disabilities and the fight against poverty"
"Federal government","Ms Ludivine DEDONDER","Minister for Defence"
"Federal government","Ms Zakia KHATTABI","Minister for the Climate, the Environment, Sustainable Development and the Green Deal"
"Federal government","Ms Annelies VERLINDEN","Minister for the Interior and Institutional Reforms"
"Federal government","Ms Meryame KITIR","Minister for Development Cooperation, with responsibility for the large cities"
"Federal government","Ms Tinne VAN DER STRAETEN","Minister for Energy"
"Federal government","Mr Thomas DERMINE","State Secretary for the Recovery and Strategic Investment, with responsibility for scientific policy, attached to the Minister for the Economy and Employment"
"Federal government","Mr Mathieu MICHEL","State Secretary for Digitalisation, with responsibility for administrative simplification, the protection of privacy and the Buildings Agency, attached to the Prime Minister"
"Federal government","Ms Sarah SCHLITZ","State Secretary for Gender Equality and Equal Opportunities, attached to the Minister for Mobility"
"Federal government","Mr Sammy MAHDI","State Secretary for Asylum and Migration, with responsibility for the National Lottery, attached to the Minister for the Interior and Institutional Reforms"
"Federal government","Ms Eva DE BLEEKER","State Secretary for the Budget and Consumer Protection, attached to the Minister for Justice, with responsibility for the North Sea"
"Finland","Ms Sanna MARIN","Prime Minister"
"Finland","Mr Matti VANHANEN","Minister for Finance"
"Finland","Ms Tytti TUPPURAINEN","Minister for European Affairs and Ownership Steering"
"Finland","Mr Pekka HAAVISTO","Minister for Foreign Affairs"
"Finland","Mr Ville SKINNARI","Minister for Development Cooperation and Foreign Trade"
"Finland","Ms Anna-Maja HENRIKSSON","Minister for Justice"
"Finland","Mr Thomas BLOMQVIST","Minister for Nordic Cooperation and Equality"
"Finland","Ms Maria OHISALO","Minister for the Interior"
"Finland","Mr Antti KAIKKONEN","Minister for Defence"
"Finland","Ms Sirpa PAATERO","Minister for Local Government"
"Finland","Ms Li ANDERSSON","Minister for Education"
"Finland","Ms Annika SAARIKKO","Minister for Science and Culture"
"Finland","Mr Jari LEPPÄ","Minister for Agriculture and Forestry"
"Finland","Mr Timo HARAKKA","Minister for Transport and Communications"
"Finland","Ms Tuula HAATAINEN","Minister for Employment"
"Finland","Mr Mika LINTILÄ","Minister for Economic Affairs"
"Finland","Ms Aino-Kaisa PEKONEN","Minister for Social Affairs and Health"
"Finland","Ms Krista KIURU","Minister for Family Affairs and Social Services"
"Finland","Ms Krista MIKKONEN","Minister for the Environment and Climate Change"
"Finland","Mr Henrik HAAPAJÄRVI","State Secretary to Prime Minister Sanna Marin"
"Finland","Ms Maria Kaisa AULA","State Secretary to Minister for Finance Matti Vanhanen"
"Finland","Mr Olli KOSKI","State Secretary to Minister for European Affairs and Ownership Steering Tytti Tuppurainen"
"Finland","Ms Johanna SUMUVUORI","State Secretary to Minister for Foreign Affairs Pekka Haavisto"
"Finland","Ms Malin BRÄNNKÄRR","State Secretary to Minister for Justice Anna-Maja Henriksson"
"Finland","Mr Olli-Poika PARVIAINEN","State Secretary to Minister for the Interior Maria Ohisalo"
"Finland","Mr Jari PARTANEN","State Secretary to Minister for Finance Matti Vanhanen, State Secretary to Minister for Defence Antti Kaikkonen, State Secretary to Minister for Science and Culture Annika Saarikko, State Secretary to Minister for Agriculture and Forestry Jari Leppä, State Secretary to Minister for Economic Affairs Mika Lintilä, State Secretary to the Centre Party group of ministers"
"Finland","Ms Minna KELHÄ","State Secretary to Minister for Education Li Andersson"
"Finland","Mr Tuomo PUUMALA","State Secretary to Minister for Science and Culture Annika Saarikko"
"Finland","Mr Kimmo TIILIKAINEN","State Secretary to Minister for Agriculture and Forestry Jari Leppä, State Secretary to Minister for Economic Affairs Mika Lintilä"
"Finland","Ms Pilvi TORSTI","State Secretary to Minister for Transport and Communications Timo Harakka"
"Finland","Mr Ville KOPRA","State Secretary to Minister for Employment Tuula Haatainen"
"Finland","Ms Saila RUUTH","State Secretary to Minister for Social Affairs and Health Aino-Kaisa Pekonen"
"Finland","Ms Eila MÄKIPÄÄ","State Secretary to Minister for Family Affairs and Social Services Krista Kiuru"
"Finland","Ms Terhi LEHTONEN","State Secretary to Minister for the Environment and Climate Change Krista Mikkonen"
"France","Mr Jean CASTEX","Prime Minister"
