cntry;name_minister;portfolio;party;party_fullname;party_abbr;party_nameen;orientation;ep_affiliation;eu_stance
SWE;Lina Axelsson Kihlblom;Minister for Schools;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Annika Strandhäll;Minister for the EnvironmentMinister for the Climate;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Karl-Petter Thorwaldsson;Minister for Enterprise;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Anna-Caren Sätherberg;Minister for Rural Affairs;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Jeanette Gustafsdotter;Minister for CultureMinister for Democracy;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Eva Nordmark;Minister for Employment;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Johan Danielsson;Minister for HousingDeputy Minister for Employment;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Tomas Eneroth;Minister for Infrastructure;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SWE;Khashayar Farmanbar;Minister for EnergyMinister for Digital Development;Social Democratic;Sveriges Socialdemokratiska Arbetareparti;NA;Social Democratic Workers’ Party of Sweden;Centre-left;S&D;"In favour of EU integration;"
SVN;Janez Janša;Prime Minister;SDS;Slovenska Demokratska Stranka;SDS;Slovenian Democratic Party;Centre-right to right-wing;EPP;"Somewhat in favour of EU integration;"
SVN;Zdravko Počivalšek;Deputy Prime MinisterMinister of Economic Development and Technology;SMC;Stranka Modernega Centra;SMC;Modern Centre Party;Liberal;RE;"Strongly in favour of EU integration;"
SVN;Matej Tonin;Deputy Prime MinisterMinister of Defence;NSi;Nova Slovenija – Krščanski Demokrati;NSi;New Slovenia;Centre-right;EPP;"In favour of EU integration;"
SVN;Jože Podgoršek;Minister of Agriculture, Forestry and Food;DeSUS;Demokratična Stranka Upokojencev Slovenije;DeSUS;Democratic Party of Pensioners of Slovenia;Centrist;RE;"In favour of EU integration;"
SVN;Simona Kustec;Minister of Education, Science and Sport;SMC;Stranka Modernega Centra;SMC;Modern Centre Party;Liberal;RE;"Strongly in favour of EU integration;"
SVN;Janez Cigler Kralj;Minister of Labour, Family, Social Affairs and Equal Opportunity;NSi;Nova Slovenija – Krščanski Demokrati;NSi;New Slovenia;Centre-right;EPP;"In favour of EU integration;"
SVN;Jernej Vrtovec;Minister of Infrastructure;NSi;Nova Slovenija – Krščanski Demokrati;NSi;New Slovenia;Centre-right;EPP;"In favour of EU integration;"
SVN;Aleš Hojs;Minister of the Interior;SDS;Slovenska Demokratska Stranka;SDS;Slovenian Democratic Party;Centre-right to right-wing;EPP;"Somewhat in favour of EU integration;"
SVN;Andrej Vizjak;Minister of Environment and Spatial Planning;SDS;Slovenska Demokratska Stranka;SDS;Slovenian Democratic Party;Centre-right to right-wing;EPP;"Somewhat in favour of EU integration;"
SVN;Andrej Šircelj;Minister of Finance;SDS;Slovenska Demokratska Stranka;SDS;Slovenian Democratic Party;Centre-right to right-wing;EPP;"Somewhat in favour of EU integration;"
SVN;Vasko Simoniti;Minister of Culture;SDS;Slovenska Demokratska Stranka;SDS;Slovenian Democratic Party;Centre-right to right-wing;EPP;"Somewhat in favour of EU integration;"
SVN;"Janez Poklukar
";Minister of Health;Independent;NI;NI;NI;NI;NI;NI
SVN;Boštjan Koritnik;Minister of Public Administration;SMC;Stranka Modernega Centra;SMC;Modern Centre Party;Liberal;RE;"Strongly in favour of EU integration;"
SVN;Anže Logar;Minister of Foreign Affairs;SDS;Slovenska Demokratska Stranka;SDS;Slovenian Democratic Party;Centre-right to right-wing;EPP;"Somewhat in favour of EU integration;"
SVN;Marjan Dikaučič;Minister of Justice;SMC;Stranka Modernega Centra;SMC;Modern Centre Party;Liberal;RE;"Strongly in favour of EU integration;"
SVN;Zvone Černač;Minister without portfolio for Development and European Cohesion Policy;SDS;Slovenska Demokratska Stranka;SDS;Slovenian Democratic Party;Centre-right to right-wing;EPP;"Somewhat in favour of EU integration;"
SVN;Helena Jaklitsch;Minister without portfolio for Slovenian Diaspora;SDS;Slovenska Demokratska Stranka;SDS;Slovenian Democratic Party;Centre-right to right-wing;EPP;"Somewhat in favour of EU integration;"
SVN;Marjan Šarec;Prime Minister;LMŠ;Lista Marjana Šarca;LMŠ;Marjan Šarec List;Liberal;RE;"In favour of EU integration;"
SVN;Aleksandra Pivec;Minister of Agriculture, Forestry and Food;DeSUS;Demokratična Stranka Upokojencev Slovenije;DeSUS;Democratic Party of Pensioners of Slovenia;Centrist;RE;"In favour of EU integration;"
SVN;Dejan Prešiček;Minister of Culture;SD;Socialni Demokrati;SD;Social Democrats;Centre-left;S&D;"In favour of EU integration;"
SVN;Karl Erjavec;Minister of Defence;DeSUS;Demokratična Stranka Upokojencev Slovenije;DeSUS;Democratic Party of Pensioners of Slovenia;Centrist;RE;"In favour of EU integration;"
SVN;Zdravko Počivalšek;Minister of Economic Development and Technology;SMC;Stranka Modernega Centra;SMC;Modern Centre Party;Liberal;RE;"Strongly in favour of EU integration;"
SVN;Jernej Pikalo;Minister of Education, Science and Sport;SD;Socialni Demokrati;SD;Social Democrats;Centre-left;S&D;"In favour of EU integration;"
SVN;Jure Leben;Minister of Environment and Spatial Planning;SMC;Stranka Modernega Centra;SMC;Modern Centre Party;Liberal;RE;"Strongly in favour of EU integration;"
SVN;Andrej Bertoncelj;Minister of Finance;LMŠ;Lista Marjana Šarca;LMŠ;Marjan Šarec List;Liberal;RE;"In favour of EU integration;"
SVN;Miro Cerar;Minister of Foreign Affairs;SMC;Stranka Modernega Centra;SMC;Modern Centre Party;Liberal;RE;"Strongly in favour of EU integration;"
SVN;Samo Fakin;Minister of Health;LMŠ;Lista Marjana Šarca;LMŠ;Marjan Šarec List;Liberal;RE;"In favour of EU integration;"
SVN;Alenka Bratušek;Minister of Infrastructre;SAB;Stranka Alenke Bratušek;SAB;Party of Alenka Bratušek;Liberal;RE;"In favour of EU integration;"
SVN;Boštjan Poklukar;Minister of Interior;LMŠ;Lista Marjana Šarca;LMŠ;Marjan Šarec List;Liberal;RE;"In favour of EU integration;"
SVN;Andreja Katič;Minister of Justice;SD;Socialni Demokrati;SD;Social Democrats;Centre-left;S&D;"In favour of EU integration;"
SVN;Ksenija Klampfer;Minister of Labour, Family, Social Affairs and Equal Opportunities;SMC;Stranka Modernega Centra;SMC;Modern Centre Party;Liberal;RE;"Strongly in favour of EU integration;"
SVN;Tugomir Kodelja (replaced);Minister of Public Administration;LMŠ;Lista Marjana Šarca;LMŠ;Marjan Šarec List;Liberal;RE;"In favour of EU integration;"
SVN;Rudi Medved;Minister of Public Administration;LMŠ;Lista Marjana Šarca;LMŠ;Marjan Šarec List;Liberal;RE;"In favour of EU integration;"
SVN;Peter Jožef Česnik;Minister without portfolio for Slovenian diaspora;SAB;Stranka Alenke Bratušek;SAB;Party of Alenka Bratušek;Liberal;RE;"In favour of EU integration;"
SVN;Marko Bandelli (resigned);Minister without Portfolio responsible for Development, Strategic Projects and Cohesion;SAB;Stranka Alenke Bratušek;SAB;Party of Alenka Bratušek;Liberal;RE;"In favour of EU integration;"
SVN;Marko Bandelli (resigned);Minister without Portfolio responsible for Development, Strategic Projects and Cohesion;SAB;Stranka Alenke Bratušek;SAB;Party of Alenka Bratušek;Liberal;RE;"In favour of EU integration;"
SVN;Iztok Purič;Minister without Portfolio responsible for Development, Strategic Projects and Cohesion;SAB;Stranka Alenke Bratušek;SAB;Party of Alenka Bratušek;Liberal;RE;"In favour of EU integration;"
SVN;Iztok Purič;Minister without Portfolio responsible for Development, Strategic Projects and Cohesion;SAB;Stranka Alenke Bratušek;SAB;Party of Alenka Bratušek;Liberal;RE;"In favour of EU integration;"
SVK;Peter Pellegrini;Prime Minister;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Richard Raši;Deputy Prime Minister for Investments and Informatization;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Peter Kažimír;Deputy Prime MinisterMinister of Finance;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Peter Pellegrini (acting);Minister of Finance;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Ladislav Kamenický [sk];Minister of Finance;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Gabriela Matečná [sk];Deputy Prime MinisterMinister of Agriculture and Rural Development;SNS;Slovenská Národná Strana;SNS;Slovak National Party;National-conservative;ECR;"Somewhat opposed to EU integration;"
SVK;László Sólymos;Deputy Prime MinisterMinister of the Environment;Most–Híd;Most–Híd;MOST;Bridge-Bridge;Centre-right;EPP;"Strongly in favour of EU integration;"
SVK;Árpád Érsek;Deputy Prime MinisterMinister of the Environment;Most–Híd;Most–Híd;MOST;Bridge-Bridge;Centre-right;EPP;"Strongly in favour of EU integration;"
SVK;Tomáš Drucker [sk];Minister of Interior;Independent(SD);NI;NI;NI;NI;NI;NI
SVK;Denisa Saková;Minister of Interior;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Gábor Gál [sk];Minister of Justice;Most–Híd;Most–Híd;MOST;Bridge-Bridge;Centre-right;EPP;"Strongly in favour of EU integration;"
SVK;Miroslav Lajčák;Minister of Foreign Affairs;Independent(SD);NI;NI;NI;NI;NI;NI
SVK;Peter Žiga;Minister of Economy;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Árpád Érsek;Minister of Transport, Construction and Regional Development;Most–Híd;Most–Híd;MOST;Bridge-Bridge;Centre-right;EPP;"Strongly in favour of EU integration;"
SVK;Peter Gajdoš [sk];Minister of Defence;SNS;Slovenská Národná Strana;SNS;Slovak National Party;National-conservative;ECR;"Somewhat opposed to EU integration;"
SVK;Ján Richter [sk];Minister of Labour, Social Affairs and Family;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Martina Lubyová [sk];Minister of Education, Science, Research and Sport;Independent(SNS);NI;NI;NI;NI;NI;NI
SVK;Ľubica Laššáková;Minister of Culture;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Andrea Kalavská [pl];Minister of Health;Independent(SD);NI;NI;NI;NI;NI;NI
SVK;Peter Pellegrini (acting);Minister of Health;SMER;Smer – Sociálna Demokracia;SMER;Direction – Social Democracy;Centrist;S&D;"Somewhat in favour of EU integration;"
SVK;Igor Matovič;Prime Minister;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Štefan Hollý;Deputy Prime Minister for Legislation and Strategic Planning;Sme Rodina;Sme Rodina;SME RODINA;We Are Family;Right-wing;ID;"Somewhat opposed to EU integration;"
SVK;Veronika Remišová;Deputy Prime Minister and Minister of Investments and Regional Development;ZL;Za ľudí;ZL’;For the People;Centre-right;→EPP;"Strongly in favour of EU integration;"
SVK;Richard Sulík;Deputy Prime Minister for Economic Affairs and Minister of Economy;SaS;Sloboda a Solidarita;SaS;Freedom and Solidarity;Libertarian;ECR;"Neutral towards EU integration;"
SVK;Andrej Doležal(acting);Deputy Prime Minister for Economic Affairs and Minister of Economy;Independent(SR);NI;NI;NI;NI;NI;NI
SVK;Eduard Heger;Deputy Prime Minister and Minister of Finance;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Roman Mikulec;Minister of Internal affairs;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Marek Krajčí;Minister of Health;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Eduard Heger(acting);Minister of Health;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Jaroslav Naď;Minister of Defence;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Mária Kolíková;Minister of Justice;ZL;Za ľudí;ZL’;For the People;Centre-right;→EPP;"Strongly in favour of EU integration;"
SVK;Veronika Remišová(acting);Minister of Justice;ZL;Za ľudí;ZL’;For the People;Centre-right;→EPP;"Strongly in favour of EU integration;"
SVK;Richard Sulík(acting);Minister of Foreign and European Affairs;SaS;Sloboda a Solidarita;SaS;Freedom and Solidarity;Libertarian;ECR;"Neutral towards EU integration;"
SVK;Ivan Korčok;Minister of Foreign and European Affairs;Independent(SaS);NI;NI;NI;NI;NI;NI
SVK;Jaroslav Naď(acting);Minister of Foreign and European Affairs;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Branislav Gröhling;Minister of Education, Science, Research and Sport;SaS;Sloboda a Solidarita;SaS;Freedom and Solidarity;Libertarian;ECR;"Neutral towards EU integration;"
SVK;Eduard Heger(acting);Minister of Education, Science, Research and Sport;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Milan Krajniak;Minister of Labour, Social Affairs and Family;Sme Rodina;Sme Rodina;SME RODINA;We Are Family;Right-wing;ID;"Somewhat opposed to EU integration;"
SVK;Andrej Doležal(acting);Minister of Labour, Social Affairs and Family;Independent(SR);NI;NI;NI;NI;NI;NI
SVK;Andrej Doležal;Minister of Transport and Construction;Independent(SR);NI;NI;NI;NI;NI;NI
SVK;Natália Milanová;Minister of Culture;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Ján Mičovský;Minister of Agriculture and Rural Development;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Ján Budaj;Minister of the Environment;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Eduard Heger;Prime Minister;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Richard Sulík;Deputy Prime Minister for Economic Affairs and Minister of Economy;SaS;Sloboda a Solidarita;SaS;Freedom and Solidarity;Libertarian;ECR;"Neutral towards EU integration;"
SVK;Igor Matovič;Deputy Prime Minister and Minister of Finance;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Štefan Holý;Deputy Prime Minister for Legislation and Strategic Planning;Sme Rodina;Sme Rodina;SME RODINA;We Are Family;Right-wing;ID;"Somewhat opposed to EU integration;"
SVK;Veronika Remišová;Deputy Prime Minister and Minister of Investments and Regional Development;ZL;Za ľudí;ZL’;For the People;Centre-right;→EPP;"Strongly in favour of EU integration;"
SVK;Roman Mikulec;Minister of Interior;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Vladimír Lengvarský;Minister of Health;Independent for OLaNO;NI;NI;NI;NI;NI;NI
SVK;Jaroslav Naď;Minister of Defence;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Mária Kolíková;Minister of Justice;Independent for SaS[a];NI;NI;NI;NI;NI;NI
SVK;Ivan Korčok;Minister of Foreign and European Affairs;Independent for SaS;NI;NI;NI;NI;NI;NI
SVK;Branislav Gröhling;Minister of Education, Science, Research and Sport;SaS;Sloboda a Solidarita;SaS;Freedom and Solidarity;Libertarian;ECR;"Neutral towards EU integration;"
SVK;Milan Krajniak;Minister of Labour, Social Affairs and Family;Sme Rodina;Sme Rodina;SME RODINA;We Are Family;Right-wing;ID;"Somewhat opposed to EU integration;"
SVK;Andrej Doležal;Minister of Transport and Construction;Independent for SR;NI;NI;NI;NI;NI;NI
SVK;Natália Milanová;Minister of Culture;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Ján Mičovský;Minister of Agriculture and Rural Development;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
SVK;Samuel Vlčan;Minister of Agriculture and Rural Development;Independent for OLaNO;NI;NI;NI;NI;NI;NI
SVK;Ján Budaj;Minister of Environment;OLaNO;Obyčajní Ľudia;OL’aNO;Ordinary People;Centre-right;EPP;"Somewhat in favour of EU integration;"
