abbr;full_title;date;cntry.x;name;office;isocntry;matchprep.x;cntry.y;name_minister;portfolio;party;party_fullname;party_abbr;party_nameen;orientation;ep_affiliation;eu_stance;matchprep.y
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;France;Ms Valérie METRICH HECQUET;General Director, Ministry for Agriculture and Food;FRA;valériemetrichhecquet;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Latvia;Mr Jānis GRASBERGS;Parliamentary Secretary, Ministry of Agriculture;LVA;jānisgrasbergs;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Netherlands;Ms Marjolijn SONNEMA;General Director;NLD;marjolijnsonnema;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Austria;Ms Maria PATEK;Federal Minister for Sustainability and Tourism;AUT;mariapatek;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  November  PARTICIPANTS Belgium:;2019-11-18;Portugal;Ms Maria DO CÉU ALBUQUERQUE;Minister for Agriculture;PRT;mariadocéualbuquerque;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Belgium;Mr Willy BORSUS;Vice-President and Minister for Economic Affairs, Foreign Trade, Research and Innovation, the Digital Economy, Agriculture and Spatial Planning;BEL;willyborsus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Belgium;Ms Hilde CREVITS;Vice-Minister-President of the Flemish Government and Flemish Minister for Economy, Innovation, Work, Social Economy and Agriculture;BEL;hildecrevits;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Bulgaria;M. Stanislav TODOROV;Mertens;BGR;mstanislavtodorov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Czech Republic;Mr Jiří ŠÍR;Deputy Minister for Agriculture;CZE;jiříšír;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Denmark;Mr Mogens JENSEN;Minister for Food, Fisheries and Equal Opportunities and Minister for Nordic Cooperation;DNK;mogensjensen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Estonia;Mr Marten KOKK;Deputy Permanent Representative;EST;martenkokk;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Spain;Mr Luis PLANAS PUCHADES;Minister for Agriculture, Fisheries and Food;ESP;luisplanaspuchades;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;France;Ms Didier GUILLAUME;Minister for Agriculture and Food;FRA;didierguillaume;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Lithuania;Mr Simonas ŠATŪNAS;Deputy Permanent Representative;LTU;simonasšatūnas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Luxembourg;Mr Georges TERNES;Deputy Permanent Representative;LUX;georgesternes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Netherlands;Mr. Ronald VAN ROEDEN;Deputy Permanent Representative;NLD;ronaldvanroeden;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Austria;Ms Maria PATEK;Federal Minister for Sustainability and Tourism;AUT;mariapatek;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Portugal;Ms Maria DO CÉU ALBUQUERQUE;Minister for Agriculture;PRT;mariadocéualbuquerque;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Slovakia;Ms Petra VARGOVÁ;Deputy Permanent Representative;SVK;petravargová;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Sweden;Mr Per CALLENBERG;State Secretary to the Minister for Rural Affairs;SWE;percallenberg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  December  PARTICIPANTS;2019-12-16;Sweden;Mr George EUSTICE;Minister of State for Agriculture, Fisheries and Food, Department for Environment, Food and Rural Affairs;SWE;georgeeustice;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  January  PARTICIPANTS;2020-01-27;Belgium;Mr Willy BORSUS;Vice-President and Minister for Economic Affairs, Foreign Trade, Research and Innovation, the Digital Economy, Agriculture and Spatial Planning;BEL;willyborsus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  January  PARTICIPANTS;2020-01-27;Denmark;Mr Mogens JENSEN;Minister for Food, Fisheries and Equal Opportunities and Minister for Nordic Cooperation;DNK;mogensjensen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  January  PARTICIPANTS;2020-01-27;Greece;Mr Mavroudis VORIDIS;Minister for Rural Development and Food;GRC;mavroudisvoridis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  January  PARTICIPANTS;2020-01-27;Spain;Mr Luis PLANAS PUCHADES;Minister for Agriculture, Fisheries and Food;ESP;luisplanaspuchades;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  January  PARTICIPANTS;2020-01-27;France;Mr Didier GUILLAUME;Minister for Agriculture and Food;FRA;didierguillaume;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  January  PARTICIPANTS;2020-01-27;Poland;Mr Ryszard KAMIŃSKI;Deputy State Secretary, Ministry of Agriculture and Rural Development;POL;ryszardkamiński;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  January  PARTICIPANTS;2020-01-27;Portugal;Ms Maria do Céu ALBUQUERQUE;Minister for Agriculture;PRT;mariadocéualbuquerque;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  January  PARTICIPANTS;2020-01-27;Slovakia;Mr Gabriel CSICSAI;State Secretary at the Ministry of Agriculture and Rural Development;SVK;gabrielcsicsai;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Czech Republic;Mr Jiří Šír;Deputy Minister for Agriculture;CZE;jiříšír;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Denmark;Mr Mogens JENSEN;Minister for Food, Fisheries and Equal Opportunities and Minister for Nordic Cooperation;DNK;mogensjensen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Ireland;Mr Barry COWEN;Minister for Agriculture and Marine;IRL;barrycowen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Greece;Mr Mavroudis (Makis) VORIDIS;Minister for Rural Development and Food;GRC;mavroudismakisvoridis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Spain;Mr Luis Planas PUCHADES;Minister for Agriculture, Fisheries and Food;ESP;luisplanaspuchades;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;France;Mr Didier GUILLAUME;Minister for Agriculture and Food;FRA;didierguillaume;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Lithuania;Mr Evaldas GUSTAS;Deputy Minister for Agriculture;LTU;evaldasgustas;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Hungary;Mr Zsolt FELDMAN;Minister of State for Farming and Rural Development, Ministry of Agriculture;HUN;zsoltfeldman;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Malta;Mr Sharlo CAMILLERI;Permanent Secretary;MLT;sharlocamilleri;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Portugal;Ms Maria do Céu ALBUQUERQUE;Minister for Agriculture;PRT;mariadocéualbuquerque;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Slovenia;Ms Darja MAJKOVIC;DG for Agriculture;SVN;darjamajkovic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;Agriculture  June  Participants;2020-06-29;Sweden;Mr Per CALLENBERG;State Secretary to the Minister for Rural Affairs;SWE;percallenberg;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Belgium;Mr Willy BORSUS;Vice-President and Minister for Economic Affairs, Foreign Trade, Research and Innovation, the Digital Economy, Agriculture and Spatial Planning;BEL;willyborsus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Bulgaria;Mr Stanislav TODOROV;Deputy Permanent Representative;BGR;stanislavtodorov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Denmark;Mr Mogens JENSEN;Minister for Food, Fisheries and Equal Opportunities and Minister for Nordic Cooperation;DNK;mogensjensen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Germany;Ms Beate KASCH;State Secretary;DEU;beatekasch;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Ireland;Mr Dara CALLEARY;Minister for Agriculture, Food and the Marine;IRL;daracalleary;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Ireland;Mr Brendan GLEESON;Secretary General, Department of Agriculture, Food and the Marine;IRL;brendangleeson;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Greece;Mr Mavroudis VORIDIS;Minister for Rural Development and Food;GRC;mavroudisvoridis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Spain;Mr Luis PLANAS PUCHADES;Minister for Agriculture, Fisheries and Food;ESP;luisplanaspuchades;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Italy;Mr Pavlos KOMBOS;Deputy Permanent Representative;ITA;pavloskombos;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Latvia;Ms Alise BALODE;Deputy Permanent Representative;LVA;alisebalode;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Lithuania;Ms Aistė ČIPKUTĖ-DAUKUVIENĖ;Mertens;LTU;aistėčipkutėdaukuvienė;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Lithuania;Mr Rolandas TARAŠKEVIČIUS;SCA Attache;LTU;rolandastaraškevičius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Malta;Ms Ilaria FLORES MARTIN;Acting Mertens;MLT;ilariafloresmartin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Portugal;Ms Maria do Céu ALBUQUERQUE;Minister for Agriculture;PRT;mariadocéualbuquerque;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  July,  PARTICIPANTS;2020-07-20;Slovakia;Ms Helena LETTRICHOVA;SCA Attache;SVK;helenalettrichova;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Belgium;Mr Willy BORSUS;Vice-President and Minister for Economic Affairs, Foreign Trade, Research and Innovation, the Digital Economy, Agriculture and Spatial Planning;BEL;willyborsus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Denmark;Mr Mogens JENSEN;Minister for Food, Fisheries and Equal Opportunities and Minister for Nordic Cooperation;DNK;mogensjensen;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Germany;Ms Beate KASCH;State Secretary;DEU;beatekasch;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Estonia;Mr Marten KOKK;Deputy Permanent Representative;EST;martenkokk;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Greece;Mr Mavroudis VORIDIS;Minister for Rural Development and Food;GRC;mavroudisvoridis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Spain;Mr Luis PLANAS PUCHADES;Minister for Agriculture, Fisheries and Food;ESP;luisplanaspuchades;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Latvia;Ms Alise BALODE;Deputy Permanent Representative;LVA;alisebalode;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Lithuania;Ms Aistė ČIPKUTĖ-DAUKUVIENĖ;Mertens;LTU;aistėčipkutėdaukuvienė;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Lithuania;Mr Rolandas TARAŠKEVIČIUS;SCA Attache;LTU;rolandastaraškevičius;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Austria;Mr Gregor SCHUSTERSCHITZ;Deputy Permanent Representative;AUT;gregorschusterschitz;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL  September,  PARTICIPANTS;2020-09-21;Finland;Ms Minna KIVIMÄKI;Deputy Permanent Representative;FIN;minnakivimäki;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
agrifish;AGRICULTURE AND FISHERIES COUNCIL ,  October,  PARTICIPANTS;2020-10-19;Belgium;Mr Willy BORSUS;Vice-President and Minister for Economic Affairs, Foreign Trade, Research and Innovation, the Digital Economy, Spatial Planning, Agriculture, IFAPME (Walloon institute for ongoing and freelance training and SMEs) and competence centres;BEL;willyborsus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
